year,county,agency_name,agency_code,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Alameda,All Combined,All Combined,9749,63034,27.73,9.19,57366,19765,37119,482,12,0,12,1,1,0,236,96,140,,,1462736,311563,542675,184305,4388,367147,51196,0.21,0.37,0.12,0,0.25,0.03,3921.828683,1351.234946,2537.641789,32.95194758,666.4907406,4309.321709,0.820380438,0,0.820380438,0.068365036,0.068365036,0,16.13414861,6.563043502,9.571105107
2005,Alameda,Oakland Police Department,109,5692,23027,21.67,4.87,13419,6210,7184,25,4,0,4,0,0,0,66,21,45,301645,,389937,96704,103723,110742,1170,62390,14428,0.24,0.26,0.28,0,0.16,0.03,3441.325137,1592.564953,1842.348892,6.411292081,1459.722981,5905.31291,1.025806733,0,1.025806733,0,0,0,16.92581109,5.385485348,11.54032574
2005,Alameda,Alameda County Sheriff's Department,100,584,3967,38.01,7.96,6438,2138,4186,114,4,0,4,0,0,0,68,29,39,Not available,Dublin,175594,41312,79508,14352,569,35120,4861,0.23,0.45,0.08,0,0.2,0.02,3666.412292,1217.581466,2383.908334,64.92249166,332.5853959,2259.188811,2.277982163,0,2.277982163,0,0,0,38.72569678,16.51537068,22.21032609
2005,Alameda,Hayward Police Department,106,641,5473,32.44,15.47,6079,2658,3388,33,0,0,0,0,0,0,1,0,1,,,140530,52839,30214,17145,843,34711,4778,0.37,0.21,0.12,0,0.24,0.03,4325.76674,1891.411087,2410.873123,23.48253042,456.1303636,3894.542091,0,0,0,0,0,0,0.711591831,0,0.711591831
2005,Alameda,Berkeley Police Department,103,570,7976,22.45,4.52,4955,1404,3438,113,0,0,0,0,0,0,15,10,5,,,105880,11012,61305,10270,212,18741,4341,0.1,0.57,0.09,0,0.17,0.04,4679.826218,1326.029467,3247.072157,106.7245939,538.3452966,7533.05629,0,0,0,0,0,0,14.16698149,9.444654326,4.722327163
2005,Alameda,Fremont Police Department,105,521,4803,47.02,11.01,4703,1431,3269,3,0,0,0,0,0,0,8,8,0,,,206712,29353,66148,5788,620,97775,7028,0.14,0.32,0.02,0,0.47,0.03,2275.146097,692.2675026,1581.4273,1.451294555,252.0414877,2323.522582,0,0,0,0,0,0,3.870118813,3.870118813,0
2005,Alameda,CA Highway Patrol - Alameda,199,1,254,100,0,4010,201,3809,0,2,0,2,0,0,0,1,0,1,,,1462736,311563,542675,184305,4388,367147,51196,0.21,0.37,0.12,0,0.25,0.03,274.1437963,13.74137233,260.402424,0,0.068365036,17.36471927,0.136730073,0,0.136730073,0,0,0,0.068365036,0,0.068365036
2005,Alameda,San Leandro Police Department,112,465,4069,31.18,17.54,3844,1547,2253,44,1,0,1,1,1,0,7,1,6,,,81802,19551,25440,10634,245,22905,2945,0.23,0.31,0.12,0,0.28,0.03,4699.15161,1891.151806,2754.211388,53.78841593,568.4457593,4974.20601,1.222463998,0,1.222463998,1.222463998,1.222463998,0,8.557247989,1.222463998,7.334783991
2005,Alameda,Alameda Police Department,101,232,1959,66.37,14.24,3150,946,2167,37,0,0,0,0,0,0,16,5,11,43693,,71727,8607,35146,3586,143,20514,3658,0.11,0.48,0.04,0,0.28,0.05,4391.651679,1318.889679,3021.17752,51.58448004,323.4486316,2731.189092,0,0,0,0,0,0,22.30680218,6.970875681,15.3359265
2005,Alameda,Livermore Police Department,107,141,1659,41.84,8.92,2735,744,1989,2,0,0,0,0,0,0,15,3,12,75425,,78019,14277,52819,1248,234,6554,2887,0.18,0.67,0.01,0,0.08,0.03,3505.556339,953.6138633,2549.378997,2.563478127,180.725208,2126.405106,0,0,0,0,0,0,19.22608595,3.845217191,15.38086876
2005,Alameda,Newark Police Department,108,175,1977,43.42,19.82,2202,640,1549,13,0,0,0,0,0,0,18,12,6,39794,,42524,13523,13820,1658,0,12034,1488,0.31,0.32,0.03,0,0.28,0.03,5178.252281,1505.032452,3642.648857,30.57097169,411.5323112,4649.13931,0,0,0,0,0,0,42.32903772,28.21935848,14.10967924
2005,Alameda,Union City Police Department,113,416,2507,25.48,16.43,2014,675,1305,34,0,0,0,0,0,0,3,0,3,,,67544,15468,11550,3850,135,35055,1554,0.22,0.17,0.05,0,0.51,0.02,2981.760038,999.3485728,1932.073907,50.33755774,615.8948241,3711.654625,0,0,0,0,0,0,4.441549212,0,4.441549212
2005,Alameda,Pleasanton Police Department,111,96,1555,75,22.57,1684,480,1145,59,1,0,1,0,0,0,9,1,8,,,66890,6622,42475,1204,268,13980,2341,0.09,0.63,0.01,0,0.2,0.03,2517.566153,717.5960532,1711.765585,88.20451488,143.5192106,2324.712214,1.494991778,0,1.494991778,0,0,0,13.454926,1.494991778,11.95993422
2005,Alameda,Emeryville Police Department,104,94,1187,31.91,14.32,658,300,358,0,0,0,0,0,0,0,2,2,0,42606,,7998,760,3463,1208,0,2391,184,0.09,0.43,0.15,0,0.29,0.02,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
2005,Alameda,Albany Police Department,102,55,776,25.45,14.3,502,153,348,1,0,0,0,,,,,,,,,16889,1486,9677,422,34,4644,625,0.08,0.57,0.02,0,0.27,0.03,2972.348866,905.9150927,2060.51276,5.921013678,325.6557523,4594.706614,0,0,0,,,,,,
2005,Alameda,UC Berkeley Police Department,197,25,864,24,2.54,410,68,342,0,,,,0,0,0,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,Alameda E. Bay Reg. Park Dist.,114,15,138,20,4.34,226,121,105,0,,,,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,UC Lawrence-Livermore Police Department,122,0,3,0,0,128,1,127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,CSU East Bay Police Department,115,4,151,0,1.98,76,11,61,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Alameda,Union Pacific RR - Alameda Police Department,116,11,349,9.09,1.14,60,8,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
